Name,Chamber,Party,District,Total,Dems,Repubs,Comcast Corp,AT&T Inc,Verizon Communications,March 2017 Vote on Internet Privacy
"McCain, John",Senate,R,AZS1,"$794,881 ",$0 ,"$794,881 ","$121,902 ","$477,088 ","$195,891 ",Yea
"Hoyer, Steny H",House,D,MD05,"$659,490 ","$659,490 ",$0 ,"$222,100 ","$249,150 ","$188,240 ",Nay
"Upton, Fred",House,R,MI06,"$631,000 ",$0 ,"$631,000 ","$222,200 ","$228,600 ","$180,200 ",Yea
"Blunt, Roy",Senate,R,MOS1,"$503,133 ",$0 ,"$503,133 ","$152,100 ","$192,675 ","$158,358 ",Yea
"Barton, Joe",House,R,TX06,"$495,309 ",$0 ,"$495,309 ","$131,000 ","$233,509 ","$130,800 ",Yea
"Menendez, Robert",Senate,D,NJS1,"$469,727 ","$469,727 ",$0 ,"$85,950 ","$167,050 ","$216,727 ",Nay
"McConnell, Mitch",Senate,R,KYS1,"$461,277 ",$0 ,"$461,277 ","$127,750 ","$202,750 ","$130,777 ",Yea
"Sessions, Pete",House,R,TX32,"$457,690 ",$0 ,"$457,690 ","$72,500 ","$258,440 ","$126,750 ",Yea
"Walden, Greg",House,R,OR02,"$457,150 ",$0 ,"$457,150 ","$214,350 ","$131,300 ","$111,500 ",Yea
"Clyburn, James E",House,D,SC06,"$433,500 ","$433,500 ",$0 ,"$112,500 ","$175,500 ","$145,500 ",Nay
"Ryan, Paul",House,R,WI01,"$397,751 ",$0 ,"$397,751 ","$117,201 ","$170,580 ","$109,970 ",Nay
"Smith, Lamar",House,R,TX21,"$396,350 ",$0 ,"$396,350 ","$108,000 ","$197,100 ","$91,250 ",Yea
"Shimkus, John M",House,R,IL15,"$391,838 ",$0 ,"$391,838 ","$89,000 ","$203,638 ","$99,200 ",Yea
"Crowley, Joseph",House,D,NY14,"$385,450 ","$385,450 ",$0 ,"$113,750 ","$123,000 ","$148,700 ",Nay
"McCarthy, Kevin",House,R,CA23,"$344,400 ",$0 ,"$344,400 ","$148,350 ","$130,200 ","$65,850 ",Yea
"Cornyn, John",Senate,R,TXS1,"$342,100 ",$0 ,"$342,100 ","$73,300 ","$191,550 ","$77,250 ",Yea
"Goodlatte, Bob",House,R,VA06,"$337,049 ",$0 ,"$337,049 ","$114,150 ","$111,250 ","$111,649 ",Yea
"Nelson, Bill",Senate,D,FLS1,"$331,426 ","$331,426 ",$0 ,"$174,551 ","$83,295 ","$73,580 ",Nay
"Hatch, Orrin G",Senate,R,UTS1,"$314,149 ",$0 ,"$314,149 ","$118,650 ","$103,999 ","$91,500 ",Yea
"Schumer, Charles E",Senate,D,NYS2,"$312,032 ","$312,032 ",$0 ,"$109,205 ","$74,207 ","$128,620 ",Nay
"Pallone, Frank Jr",House,D,NJ06,"$309,300 ","$309,300 ",$0 ,"$79,900 ","$112,650 ","$116,750 ",Nay
"Green, Gene",House,D,TX29,"$301,460 ","$301,460 ",$0 ,"$58,250 ","$153,210 ","$90,000 ",Nay
"Grassley, Chuck",Senate,R,IAS1,"$293,802 ",$0 ,"$293,802 ","$75,750 ","$81,400 ","$136,652 ",Yea
"Blackburn, Marsha",House,R,TN07,"$288,400 ",$0 ,"$288,400 ","$82,500 ","$103,750 ","$102,150 ",Yea
"Engel, Eliot L",House,D,NY16,"$273,800 ","$273,800 ",$0 ,"$15,000 ","$89,500 ","$169,300 ",Nay
"Burr, Richard",Senate,R,NCS2,"$273,023 ",$0 ,"$273,023 ","$50,900 ","$138,423 ","$83,700 ",Yea
"Brady, Robert A",House,D,PA01,"$264,450 ","$264,450 ",$0 ,"$203,950 ","$43,000 ","$17,500 ",Nay
"Toomey, Pat",Senate,R,PAS1,"$263,995 ",$0 ,"$263,995 ","$135,900 ","$59,170 ","$68,925 ",Yea
"Tiberi, Pat",House,R,OH12,"$262,200 ",$0 ,"$262,200 ","$46,000 ","$120,000 ","$96,200 ",Yea
"Markey, Ed",Senate,D,MAS2,"$260,880 ","$260,880 ",$0 ,"$112,350 ","$111,600 ","$36,930 ",Nay
"Thune, John",Senate,R,SDS1,"$258,100 ",$0 ,"$258,100 ","$74,700 ","$104,750 ","$78,650 ",Yea
"Durbin, Dick",Senate,D,ILS1,"$249,847 ","$249,847 ",$0 ,"$146,900 ","$75,446 ","$27,501 ",Nay
"Casey, Bob",Senate,D,PAS2,"$249,392 ","$249,392 ",$0 ,"$214,680 ","$19,767 ","$14,945 ",Nay
"Scalise, Steve",House,R,LA01,"$244,000 ",$0 ,"$244,000 ","$75,000 ","$103,500 ","$65,500 ",Yea
"McHenry, Patrick",House,R,NC10,"$240,500 ",$0 ,"$240,500 ","$78,000 ","$121,750 ","$40,750 ",Yea
"Nunes, Devin",House,R,CA22,"$233,500 ",$0 ,"$233,500 ","$42,500 ","$138,000 ","$53,000 ",Yea
"Rush, Bobby L",House,D,IL01,"$231,464 ","$231,464 ",$0 ,"$47,000 ","$115,964 ","$68,500 ",Not Voting
"Roskam, Peter",House,R,IL06,"$229,100 ",$0 ,"$229,100 ","$51,300 ","$104,800 ","$73,000 ",Yea
"Bennet, Michael F",Senate,D,COS1,"$227,057 ","$227,057 ",$0 ,"$141,275 ","$31,957 ","$53,825 ",Nay
"Warner, Mark",Senate,D,VAS2,"$225,893 ","$225,893 ",$0 ,"$110,983 ","$33,950 ","$80,960 ",Nay
"Meeks, Gregory W",House,D,NY05,"$223,550 ","$223,550 ",$0 ,"$32,400 ","$100,650 ","$90,500 ",Nay
"Gillibrand, Kirsten",Senate,D,NYS1,"$222,503 ","$222,503 ",$0 ,"$137,750 ","$27,323 ","$57,430 ",Nay
"Roberts, Pat",Senate,R,KSS1,"$219,990 ",$0 ,"$219,990 ","$29,000 ","$153,490 ","$37,500 ",Yea
"Rodgers, Cathy McMorris",House,R,WA05,"$219,000 ",$0 ,"$219,000 ","$68,400 ","$88,600 ","$62,000 ",Yea
"Schultz, Debbie Wasserman",House,D,FL23,"$214,850 ","$214,850 ",$0 ,"$108,125 ","$59,000 ","$47,725 ",Nay
"Issa, Darrell",House,R,CA49,"$214,600 ",$0 ,"$214,600 ","$59,000 ","$125,100 ","$30,500 ",Yea
"Leahy, Patrick",Senate,D,VTS2,"$214,257 ","$214,257 ",$0 ,"$136,700 ","$36,757 ","$40,800 ",Nay
"Isakson, Johnny",Senate,R,GAS2,"$211,500 ",$0 ,"$211,500 ","$59,950 ","$113,150 ","$38,400 ",Not Voting
"Graham, Lindsey",Senate,R,SCS2,"$210,472 ",$0 ,"$210,472 ","$42,000 ","$116,022 ","$52,450 ",Yea
"Pelosi, Nancy",House,D,CA12,"$210,409 ","$210,409 ",$0 ,"$85,650 ","$76,219 ","$48,540 ",Nay
"Hensarling, Jeb",House,R,TX05,"$205,448 ",$0 ,"$205,448 ","$35,500 ","$134,698 ","$35,250 ",Yea
"Dent, Charlie",House,R,PA15,"$202,650 ",$0 ,"$202,650 ","$117,450 ","$50,200 ","$35,000 ",Yea
"Butterfield, G K",House,D,NC01,"$196,500 ","$196,500 ",$0 ,"$50,000 ","$97,000 ","$49,500 ",Nay
"Shelby, Richard C",Senate,R,ALS2,"$195,650 ",$0 ,"$195,650 ","$44,000 ","$129,150 ","$22,500 ",Yea
"Conyers, John Jr",House,D,MI13,"$194,550 ","$194,550 ",$0 ,"$65,000 ","$98,600 ","$30,950 ",Nay
"Thompson, Bennie G",House,D,MS02,"$194,500 ","$194,500 ",$0 ,"$18,000 ","$108,250 ","$68,250 ",Nay
"Sanders, Bernie",Senate,I,VTS1,"$190,443 ",$0 ,$0 ,"$59,327 ","$80,391 ","$50,725 ",Nay
"Shuster, Bill",House,R,PA09,"$188,750 ",$0 ,"$188,750 ","$68,000 ","$68,500 ","$52,250 ",Yea
"Carper, Tom",Senate,D,DES1,"$188,650 ","$188,650 ",$0 ,"$95,050 ","$53,250 ","$40,350 ",Nay
"Murphy, Tim",House,R,PA18,"$184,750 ",$0 ,"$184,750 ","$69,000 ","$57,250 ","$58,500 ",Yea
"Portman, Rob",Senate,R,OHS2,"$178,908 ",$0 ,"$178,908 ","$37,000 ","$57,700 ","$84,208 ",Yea
"Kind, Ron",House,D,WI03,"$176,250 ","$176,250 ",$0 ,"$40,500 ","$101,000 ","$34,750 ",Nay
"Rubio, Marco",Senate,R,FLS2,"$174,315 ",$0 ,"$174,315 ","$63,725 ","$69,735 ","$40,855 ",Yea
"Heller, Dean",Senate,R,NVS1,"$174,000 ",$0 ,"$174,000 ","$58,000 ","$83,500 ","$32,500 ",Yea
"Brady, Kevin",House,R,TX08,"$172,950 ",$0 ,"$172,950 ","$28,000 ","$88,450 ","$56,500 ",Yea
"Van Hollen, Chris",Senate,D,MDS2,"$171,992 ","$171,992 ",$0 ,"$89,950 ","$43,772 ","$38,270 ",Yea
"Neal, Richard E",House,D,MA01,"$169,500 ","$169,500 ",$0 ,"$73,000 ","$34,250 ","$62,250 ",Nay
"Wyden, Ron",Senate,D,ORS2,"$168,439 ","$168,439 ",$0 ,"$32,775 ","$76,385 ","$59,279 ",Nay
"Wicker, Roger",Senate,R,MSS2,"$168,000 ",$0 ,"$168,000 ","$67,250 ","$61,250 ","$39,500 ",Yea
"Collins, Susan M",Senate,R,MES2,"$167,571 ",$0 ,"$167,571 ","$40,750 ","$44,100 ","$82,721 ",Yea
"Lance, Leonard",House,R,NJ07,"$165,950 ",$0 ,"$165,950 ","$34,300 ","$53,600 ","$78,050 ",Yea
"Graves, Sam",House,R,MO06,"$165,100 ",$0 ,"$165,100 ","$38,600 ","$85,000 ","$41,500 ",Yea
"Murray, Patty",Senate,D,WAS2,"$164,580 ","$164,580 ",$0 ,"$72,900 ","$55,780 ","$35,900 ",Nay
"McCaskill, Claire",Senate,D,MOS2,"$163,967 ","$163,967 ",$0 ,"$85,637 ","$41,124 ","$37,206 ",Nay
"Ruppersberger, Dutch",House,D,MD02,"$162,705 ","$162,705 ",$0 ,"$55,455 ","$65,500 ","$41,750 ",Nay
